t,z,thrust,z_ref
1.664,0.51675,19.594,0.55
1.668,0.51679,19.594,0.55
1.672,0.51683,19.594,0.55
1.676,0.51686,19.594,0.55
1.68,0.5169,19.594,0.55
1.684,0.51694,19.595,0.55
1.688,0.51698,19.595,0.55
1.692,0.51701,19.595,0.55
1.696,0.51705,19.595,0.55
1.7,0.51709,19.595,0.55
1.704,0.51712,19.595,0.55
1.708,0.51716,19.595,0.55
1.712,0.5172,19.595,0.55
1.716,0.51723,19.595,0.55
1.72,0.51727,19.595,0.55
1.724,0.51731,19.595,0.55
1.728,0.51734,19.595,0.55
1.732,0.51738,19.595,0.55
1.736,0.51742,19.595,0.55
1.74,0.51745,19.595,0.55
1.744,0.51749,19.595,0.55
1.748,0.51753,19.595,0.55
1.752,0.51756,19.595,0.55
1.756,0.5176,19.595,0.55
1.76,0.51763,19.595,0.55
1.764,0.51767,19.595,0.55
1.768,0.51771,19.595,0.55
1.772,0.51774,19.595,0.55
1.776,0.51778,19.595,0.55
1.78,0.51781,19.595,0.55
1.784,0.51785,19.595,0.55
1.788,0.51789,19.595,0.55
1.792,0.51792,19.595,0.55
1.796,0.51796,19.595,0.55
1.8,0.51799,19.595,0.55
1.804,0.51803,19.595,0.55
1.808,0.51807,19.595,0.55
1.812,0.5181,19.595,0.55
1.816,0.51814,19.595,0.55
1.82,0.51817,19.595,0.55
1.824,0.51821,19.595,0.55
1.828,0.51824,19.595,0.55
1.832,0.51828,19.595,0.55
1.836,0.51832,19.595,0.55
1.84,0.51835,19.595,0.55
1.844,0.51839,19.595,0.55
1.848,0.51842,19.595,0.55
1.852,0.51846,19.595,0.55
1.856,0.51849,19.595,0.55
1.86,0.51853,19.595,0.55
1.864,0.51856,19.595,0.55
1.868,0.5186,19.595,0.55
1.872,0.51863,19.595,0.55
1.876,0.51867,19.595,0.55
1.88,0.5187,19.595,0.55
1.884,0.51874,19.595,0.55
1.888,0.51877,19.595,0.55
1.892,0.51881,19.595,0.55
1.896,0.51884,19.595,0.55
1.9,0.51888,19.595,0.55
1.904,0.51891,19.595,0.55
1.908,0.51895,19.595,0.55
1.912,0.51898,19.595,0.55
1.916,0.51902,19.595,0.55
1.92,0.51905,19.595,0.55
1.924,0.51909,19.595,0.55
1.928,0.51912,19.595,0.55
1.932,0.51915,19.595,0.55
1.936,0.51919,19.595,0.55
1.94,0.51922,19.595,0.55
1.944,0.51926,19.595,0.55
1.948,0.51929,19.595,0.55
1.952,0.51933,19.595,0.55
1.956,0.51936,19.595,0.55
1.96,0.51939,19.595,0.55
1.964,0.51943,19.595,0.55
1.968,0.51946,19.595,0.55
1.972,0.5195,19.595,0.55
1.976,0.51953,19.595,0.55
1.98,0.51957,19.595,0.55
1.984,0.5196,19.595,0.55
1.988,0.51963,19.595,0.55
1.992,0.51967,19.595,0.55
1.996,0.5197,19.595,0.55
2,0.51974,19.595,0.55
2.004,0.51977,19.595,0.55
2.008,0.5198,19.595,0.55
2.012,0.51984,19.595,0.55
2.016,0.51987,19.595,0.55
2.02,0.5199,19.595,0.55
2.024,0.51994,19.595,0.55
2.028,0.51997,19.595,0.55
2.032,0.52,19.595,0.55
2.036,0.52004,19.595,0.55
2.04,0.52007,19.595,0.55
2.044,0.52011,19.595,0.55
2.048,0.52014,19.595,0.55
2.052,0.52017,19.595,0.55
2.056,0.52021,19.595,0.55
2.06,0.52024,19.595,0.55
2.064,0.52027,19.595,0.55
2.068,0.5203,19.595,0.55
2.072,0.52034,19.595,0.55
2.076,0.52037,19.595,0.55
2.08,0.5204,19.595,0.55
2.084,0.52044,19.595,0.55
2.088,0.52047,19.595,0.55
2.092,0.5205,19.595,0.55
2.096,0.52054,19.595,0.55
2.1,0.52057,19.595,0.55
2.104,0.5206,19.595,0.55
2.108,0.52064,19.595,0.55
2.112,0.52067,19.595,0.55
2.116,0.5207,19.595,0.55
2.12,0.52073,19.595,0.55
2.124,0.52077,19.595,0.55
2.128,0.5208,19.595,0.55
2.132,0.52083,19.595,0.55
2.136,0.52086,19.595,0.55
2.14,0.5209,19.595,0.55
2.144,0.52093,19.595,0.55
2.148,0.52096,19.595,0.55
2.152,0.52099,19.595,0.55
2.156,0.52103,19.595,0.55
2.16,0.52106,19.595,0.55
2.164,0.52109,19.595,0.55
2.168,0.52112,19.595,0.55
2.172,0.52116,19.595,0.55
2.176,0.52119,19.595,0.55
2.18,0.52122,19.595,0.55
2.184,0.52125,19.596,0.55
2.188,0.52128,19.596,0.55
2.192,0.52132,19.596,0.55
2.196,0.52135,19.596,0.55
2.2,0.52138,19.596,0.55
2.204,0.52141,19.596,0.55
2.208,0.52144,19.596,0.55
2.212,0.52148,19.596,0.55
2.216,0.52151,19.596,0.55
2.22,0.52154,19.596,0.55
2.224,0.52157,19.596,0.55
2.228,0.5216,19.596,0.55
2.232,0.52164,19.596,0.55
2.236,0.52167,19.596,0.55
2.24,0.5217,19.596,0.55
2.244,0.52173,19.596,0.55
2.248,0.52176,19.596,0.55
